# rank	legacy	wide	full
15773	39dcbeae7b3ed0bb229d878ca11a1823	e3bc0b4e95fde2cda51397dcc91c9b8c	eb479b6e082295390d79021b992f6e07
15774	39dcbeae7b3ed0bb229d878ca11a1823	e3bc0b4e95fde2cda51397dcc91c9b8c	eb479b6e082295390d79021b992f6e07
15775	39dcbeae7b3ed0bb229d878ca11a1823	e3bc0b4e95fde2cda51397dcc91c9b8c	eb479b6e082295390d79021b992f6e07
15776	39dcbeae7b3ed0bb229d878ca11a1823	e3bc0b4e95fde2cda51397dcc91c9b8c	eb479b6e082295390d79021b992f6e07
15777	0bd1c44f0545a1df944847145dbd3aae	2c020b8df70b9ae915845877069b1ebd	5aa2f73afe34154f28bbc0c0d5000646
15778	0bd1c44f0545a1df944847145dbd3aae	2c020b8df70b9ae915845877069b1ebd	5aa2f73afe34154f28bbc0c0d5000646
15779	0bd1c44f0545a1df944847145dbd3aae	2c020b8df70b9ae915845877069b1ebd	5aa2f73afe34154f28bbc0c0d5000646
15780	0bd1c44f0545a1df944847145dbd3aae	2c020b8df70b9ae915845877069b1ebd	5aa2f73afe34154f28bbc0c0d5000646
15781	0bd1c44f0545a1df944847145dbd3aae	2c020b8df70b9ae915845877069b1ebd	5aa2f73afe34154f28bbc0c0d5000646
15782	0bd1c44f0545a1df944847145dbd3aae	2c020b8df70b9ae915845877069b1ebd	5aa2f73afe34154f28bbc0c0d5000646
15783	0bd1c44f0545a1df944847145dbd3aae	2c020b8df70b9ae915845877069b1ebd	5aa2f73afe34154f28bbc0c0d5000646
15784	8ec44801471f6ab82814b69a31b8227c	5ab5b59f4f5ee2744d5262afcd94f17f	c8357512f9042a8486d4f0a2971b2224
15785	8ec44801471f6ab82814b69a31b8227c	5ab5b59f4f5ee2744d5262afcd94f17f	c8357512f9042a8486d4f0a2971b2224
15786	8ec44801471f6ab82814b69a31b8227c	5ab5b59f4f5ee2744d5262afcd94f17f	c8357512f9042a8486d4f0a2971b2224
15787	19b5ba955e6425094acd8e2e0b2e212c	c1ed1782a3fe3cbf9cab5d4746f45cd7	3a3c464a5ee547bdb685566ecbd041fc
15788	19b5ba955e6425094acd8e2e0b2e212c	c1ed1782a3fe3cbf9cab5d4746f45cd7	3a3c464a5ee547bdb685566ecbd041fc
15789	665380815c41ec7ce33d4e0195406f11	8eeeeb18f79aab7059713996e1f3b0be	93618ad03aab704ad702c078db3f5175
15790	665380815c41ec7ce33d4e0195406f11	8eeeeb18f79aab7059713996e1f3b0be	93618ad03aab704ad702c078db3f5175
15791	665380815c41ec7ce33d4e0195406f11	8eeeeb18f79aab7059713996e1f3b0be	93618ad03aab704ad702c078db3f5175
15792	95b89652117a12a0b479fa86b1a6b225	0f9655aae33bebc4cc2b33f01d173d92	fea08d771394e9c8943db5a94e271715
15793	95b89652117a12a0b479fa86b1a6b225	0f9655aae33bebc4cc2b33f01d173d92	fea08d771394e9c8943db5a94e271715
15794	95b89652117a12a0b479fa86b1a6b225	0f9655aae33bebc4cc2b33f01d173d92	fea08d771394e9c8943db5a94e271715
15795	95b89652117a12a0b479fa86b1a6b225	0f9655aae33bebc4cc2b33f01d173d92	fea08d771394e9c8943db5a94e271715
15796	665380815c41ec7ce33d4e0195406f11	8eeeeb18f79aab7059713996e1f3b0be	93618ad03aab704ad702c078db3f5175
15797	665380815c41ec7ce33d4e0195406f11	8eeeeb18f79aab7059713996e1f3b0be	93618ad03aab704ad702c078db3f5175
15798	665380815c41ec7ce33d4e0195406f11	8eeeeb18f79aab7059713996e1f3b0be	93618ad03aab704ad702c078db3f5175
15799	665380815c41ec7ce33d4e0195406f11	8eeeeb18f79aab7059713996e1f3b0be	93618ad03aab704ad702c078db3f5175
15800	665380815c41ec7ce33d4e0195406f11	8eeeeb18f79aab7059713996e1f3b0be	93618ad03aab704ad702c078db3f5175
15801	5b287fa0bf116d1be1fb864301c6c0fa	6083107c5dac8095714bc8321dfdf039	97587a824f05f1395482ff51119960f6
15802	5b287fa0bf116d1be1fb864301c6c0fa	6083107c5dac8095714bc8321dfdf039	97587a824f05f1395482ff51119960f6
15803	5b287fa0bf116d1be1fb864301c6c0fa	6083107c5dac8095714bc8321dfdf039	97587a824f05f1395482ff51119960f6
15804	5b287fa0bf116d1be1fb864301c6c0fa	6083107c5dac8095714bc8321dfdf039	97587a824f05f1395482ff51119960f6
15805	5b287fa0bf116d1be1fb864301c6c0fa	6083107c5dac8095714bc8321dfdf039	97587a824f05f1395482ff51119960f6
15806	5b287fa0bf116d1be1fb864301c6c0fa	6083107c5dac8095714bc8321dfdf039	97587a824f05f1395482ff51119960f6
15807	5b287fa0bf116d1be1fb864301c6c0fa	6083107c5dac8095714bc8321dfdf039	97587a824f05f1395482ff51119960f6
15808	2b9d4e581ae2d0875b1ae4c3519132ce	ae9a5b35f5de63a1837fdfd2444d077d	3863a34bc097e55bed2f899b786793b6
15809	2b9d4e581ae2d0875b1ae4c3519132ce	ae9a5b35f5de63a1837fdfd2444d077d	3863a34bc097e55bed2f899b786793b6
15810	2b9d4e581ae2d0875b1ae4c3519132ce	ae9a5b35f5de63a1837fdfd2444d077d	3863a34bc097e55bed2f899b786793b6
15811	847fb6d65c15f431b66f89f838f311c1	65513b6ab22d88cff6f23edc517dd9f6	75d7820d3ee06ca5c1acb1f6c59d5e31
15812	847fb6d65c15f431b66f89f838f311c1	65513b6ab22d88cff6f23edc517dd9f6	75d7820d3ee06ca5c1acb1f6c59d5e31
15813	2b9d4e581ae2d0875b1ae4c3519132ce	ae9a5b35f5de63a1837fdfd2444d077d	3863a34bc097e55bed2f899b786793b6
15814	2b9d4e581ae2d0875b1ae4c3519132ce	ae9a5b35f5de63a1837fdfd2444d077d	3863a34bc097e55bed2f899b786793b6
15815	2b9d4e581ae2d0875b1ae4c3519132ce	ae9a5b35f5de63a1837fdfd2444d077d	3863a34bc097e55bed2f899b786793b6
15816	2b9d4e581ae2d0875b1ae4c3519132ce	ae9a5b35f5de63a1837fdfd2444d077d	3863a34bc097e55bed2f899b786793b6
15817	2b9d4e581ae2d0875b1ae4c3519132ce	ae9a5b35f5de63a1837fdfd2444d077d	3863a34bc097e55bed2f899b786793b6
15818	411356b50ca3523e10a749da673b7288	27557d5d355489f64ccfa4c1ecafa82b	4332fe1409bf9bda23eea6f766abcbd0
15819	411356b50ca3523e10a749da673b7288	27557d5d355489f64ccfa4c1ecafa82b	4332fe1409bf9bda23eea6f766abcbd0
15820	411356b50ca3523e10a749da673b7288	27557d5d355489f64ccfa4c1ecafa82b	4332fe1409bf9bda23eea6f766abcbd0
