# rank	legacy	wide
3943	dc3a847e8841d0078816c654e3d63674	13d4f9190b09efa16fcc3dc9d6b172ef
3944	dc3a847e8841d0078816c654e3d63674	13d4f9190b09efa16fcc3dc9d6b172ef
3945	dc3a847e8841d0078816c654e3d63674	13d4f9190b09efa16fcc3dc9d6b172ef
3946	dc3a847e8841d0078816c654e3d63674	13d4f9190b09efa16fcc3dc9d6b172ef
3947	fb1620dedb963f27ce3667bc61236e14	2bb71de559ea64115e47a13fa47b600f
3948	fb1620dedb963f27ce3667bc61236e14	2bb71de559ea64115e47a13fa47b600f
3949	fb1620dedb963f27ce3667bc61236e14	2bb71de559ea64115e47a13fa47b600f
3950	fb1620dedb963f27ce3667bc61236e14	2bb71de559ea64115e47a13fa47b600f
3951	fb1620dedb963f27ce3667bc61236e14	2bb71de559ea64115e47a13fa47b600f
3952	66035659e16f4bec85e4924c50419042	716c4fb45fa2f9980c1558ff1ef1dda9
3953	66035659e16f4bec85e4924c50419042	716c4fb45fa2f9980c1558ff1ef1dda9
3954	66035659e16f4bec85e4924c50419042	716c4fb45fa2f9980c1558ff1ef1dda9
3955	66035659e16f4bec85e4924c50419042	716c4fb45fa2f9980c1558ff1ef1dda9
3956	66035659e16f4bec85e4924c50419042	716c4fb45fa2f9980c1558ff1ef1dda9
3957	12e370f2a1247258c52bee433a88dd6b	48660850e8ab056c6630e094402b55ac
3958	12e370f2a1247258c52bee433a88dd6b	48660850e8ab056c6630e094402b55ac
3959	12e370f2a1247258c52bee433a88dd6b	48660850e8ab056c6630e094402b55ac
3960	12e370f2a1247258c52bee433a88dd6b	48660850e8ab056c6630e094402b55ac
3961	12e370f2a1247258c52bee433a88dd6b	48660850e8ab056c6630e094402b55ac
3962	12e370f2a1247258c52bee433a88dd6b	48660850e8ab056c6630e094402b55ac
3963	12e370f2a1247258c52bee433a88dd6b	48660850e8ab056c6630e094402b55ac
3964	6fe32647bf9eee988341b04e4368a514	2eb3e3d57f599fa418d925a3a1d7ab57
3965	6fe32647bf9eee988341b04e4368a514	2eb3e3d57f599fa418d925a3a1d7ab57
3966	6fe32647bf9eee988341b04e4368a514	2eb3e3d57f599fa418d925a3a1d7ab57
3967	6fe32647bf9eee988341b04e4368a514	2eb3e3d57f599fa418d925a3a1d7ab57
3968	6fe32647bf9eee988341b04e4368a514	2eb3e3d57f599fa418d925a3a1d7ab57
3969	292dce7d0cada694e8434b1f67413ea1	3065a5e63501c3f844d345875340580e
3970	292dce7d0cada694e8434b1f67413ea1	3065a5e63501c3f844d345875340580e
3971	292dce7d0cada694e8434b1f67413ea1	3065a5e63501c3f844d345875340580e
3972	292dce7d0cada694e8434b1f67413ea1	3065a5e63501c3f844d345875340580e
3973	292dce7d0cada694e8434b1f67413ea1	3065a5e63501c3f844d345875340580e
3974	292dce7d0cada694e8434b1f67413ea1	3065a5e63501c3f844d345875340580e
3975	292dce7d0cada694e8434b1f67413ea1	3065a5e63501c3f844d345875340580e
3976	292dce7d0cada694e8434b1f67413ea1	3065a5e63501c3f844d345875340580e
3977	292dce7d0cada694e8434b1f67413ea1	3065a5e63501c3f844d345875340580e
3978	292dce7d0cada694e8434b1f67413ea1	3065a5e63501c3f844d345875340580e
3979	c59f38bcff592b29f90400c31e614de7	2e6994bca5e26f372450f806c3b32a30
3980	292dce7d0cada694e8434b1f67413ea1	3065a5e63501c3f844d345875340580e
3981	615d9c6cf74ac8e617f0ea7f4e90f8e3	1fc020a1a1a27dd6fb866b6604d4ecb4
3982	615d9c6cf74ac8e617f0ea7f4e90f8e3	1fc020a1a1a27dd6fb866b6604d4ecb4
3983	615d9c6cf74ac8e617f0ea7f4e90f8e3	1fc020a1a1a27dd6fb866b6604d4ecb4
3984	615d9c6cf74ac8e617f0ea7f4e90f8e3	1fc020a1a1a27dd6fb866b6604d4ecb4
3985	615d9c6cf74ac8e617f0ea7f4e90f8e3	1fc020a1a1a27dd6fb866b6604d4ecb4
3986	615d9c6cf74ac8e617f0ea7f4e90f8e3	1fc020a1a1a27dd6fb866b6604d4ecb4
3987	615d9c6cf74ac8e617f0ea7f4e90f8e3	1fc020a1a1a27dd6fb866b6604d4ecb4
3988	5ee8123bc2d360f88be50c1de67cb358	de172bbbc9722614988b56308c87ce4b
3989	5ee8123bc2d360f88be50c1de67cb358	de172bbbc9722614988b56308c87ce4b
3990	5ee8123bc2d360f88be50c1de67cb358	de172bbbc9722614988b56308c87ce4b
3991	5ee8123bc2d360f88be50c1de67cb358	de172bbbc9722614988b56308c87ce4b
3992	5ee8123bc2d360f88be50c1de67cb358	de172bbbc9722614988b56308c87ce4b
3993	737f3df1f2e83b92e92e6edb66d4e6db	b8ffadea3c86eb32842adf96cc00704c
3994	737f3df1f2e83b92e92e6edb66d4e6db	b8ffadea3c86eb32842adf96cc00704c
3995	737f3df1f2e83b92e92e6edb66d4e6db	b8ffadea3c86eb32842adf96cc00704c
3996	737f3df1f2e83b92e92e6edb66d4e6db	b8ffadea3c86eb32842adf96cc00704c
3997	737f3df1f2e83b92e92e6edb66d4e6db	b8ffadea3c86eb32842adf96cc00704c
3998	ff57d244368af3de0340371903f684ca	04cfce417a8c8dc61fb8ae700f64aff1
3999	ff57d244368af3de0340371903f684ca	04cfce417a8c8dc61fb8ae700f64aff1
4000	ff57d244368af3de0340371903f684ca	04cfce417a8c8dc61fb8ae700f64aff1
4001	ff57d244368af3de0340371903f684ca	04cfce417a8c8dc61fb8ae700f64aff1
4002	ff57d244368af3de0340371903f684ca	04cfce417a8c8dc61fb8ae700f64aff1
4003	ff57d244368af3de0340371903f684ca	04cfce417a8c8dc61fb8ae700f64aff1
4004	ff57d244368af3de0340371903f684ca	04cfce417a8c8dc61fb8ae700f64aff1
4005	ff57d244368af3de0340371903f684ca	04cfce417a8c8dc61fb8ae700f64aff1
4006	ff57d244368af3de0340371903f684ca	04cfce417a8c8dc61fb8ae700f64aff1
4007	ff57d244368af3de0340371903f684ca	04cfce417a8c8dc61fb8ae700f64aff1
4008	ff57d244368af3de0340371903f684ca	04cfce417a8c8dc61fb8ae700f64aff1
4009	ff57d244368af3de0340371903f684ca	04cfce417a8c8dc61fb8ae700f64aff1
4010	1092fcec7b41799eb1e88b79f675f598	4491ad5a5cf55876fc1e388153930f6b
4011	1092fcec7b41799eb1e88b79f675f598	4491ad5a5cf55876fc1e388153930f6b
4012	1092fcec7b41799eb1e88b79f675f598	4491ad5a5cf55876fc1e388153930f6b
4013	1092fcec7b41799eb1e88b79f675f598	4491ad5a5cf55876fc1e388153930f6b
4014	1092fcec7b41799eb1e88b79f675f598	4491ad5a5cf55876fc1e388153930f6b
4015	1092fcec7b41799eb1e88b79f675f598	4491ad5a5cf55876fc1e388153930f6b
4016	1092fcec7b41799eb1e88b79f675f598	4491ad5a5cf55876fc1e388153930f6b
4017	ddcc8d767b33cd6eba0b9f83472c845a	5a180849bdb0afa6c0d5bedd5d09e7f1
4018	ddcc8d767b33cd6eba0b9f83472c845a	5a180849bdb0afa6c0d5bedd5d09e7f1
4019	ddcc8d767b33cd6eba0b9f83472c845a	5a180849bdb0afa6c0d5bedd5d09e7f1
4020	ddcc8d767b33cd6eba0b9f83472c845a	5a180849bdb0afa6c0d5bedd5d09e7f1
4021	ddcc8d767b33cd6eba0b9f83472c845a	5a180849bdb0afa6c0d5bedd5d09e7f1
4022	ddcc8d767b33cd6eba0b9f83472c845a	5a180849bdb0afa6c0d5bedd5d09e7f1
4023	ddcc8d767b33cd6eba0b9f83472c845a	5a180849bdb0afa6c0d5bedd5d09e7f1
4024	ddcc8d767b33cd6eba0b9f83472c845a	5a180849bdb0afa6c0d5bedd5d09e7f1
4025	ddcc8d767b33cd6eba0b9f83472c845a	5a180849bdb0afa6c0d5bedd5d09e7f1
4026	ddcc8d767b33cd6eba0b9f83472c845a	5a180849bdb0afa6c0d5bedd5d09e7f1
4027	64729fc35982ac5be0db068e0db8175b	540c8d853f5fbf5d3f2fcf1d92c2fc34
4028	64729fc35982ac5be0db068e0db8175b	540c8d853f5fbf5d3f2fcf1d92c2fc34
4029	64729fc35982ac5be0db068e0db8175b	540c8d853f5fbf5d3f2fcf1d92c2fc34
4030	64729fc35982ac5be0db068e0db8175b	540c8d853f5fbf5d3f2fcf1d92c2fc34
4031	64729fc35982ac5be0db068e0db8175b	540c8d853f5fbf5d3f2fcf1d92c2fc34
4032	64729fc35982ac5be0db068e0db8175b	540c8d853f5fbf5d3f2fcf1d92c2fc34
4033	64729fc35982ac5be0db068e0db8175b	540c8d853f5fbf5d3f2fcf1d92c2fc34
4034	de78cc75ad7ab35647395ee280c03cb1	a499f682c9b312c6bbc272afca412e9e
4035	de78cc75ad7ab35647395ee280c03cb1	a499f682c9b312c6bbc272afca412e9e
4036	de78cc75ad7ab35647395ee280c03cb1	a499f682c9b312c6bbc272afca412e9e
4037	de78cc75ad7ab35647395ee280c03cb1	a499f682c9b312c6bbc272afca412e9e
4038	de78cc75ad7ab35647395ee280c03cb1	a499f682c9b312c6bbc272afca412e9e
4039	be6a37ea7138422b34125f82c0eda556	7b51651ac7fbaee5e715ca1aed8bde85
4040	be6a37ea7138422b34125f82c0eda556	7b51651ac7fbaee5e715ca1aed8bde85
4041	be6a37ea7138422b34125f82c0eda556	7b51651ac7fbaee5e715ca1aed8bde85
4042	be6a37ea7138422b34125f82c0eda556	7b51651ac7fbaee5e715ca1aed8bde85
